DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
12/1/2011,0.0,0,0,9.4,3.3,46
12/2/2011,0.0,0,0,10.0,1.7,37
12/3/2011,0.0,0,0,7.2,1.1,36
12/4/2011,0.0,0,0,11.7,1.7,40
12/5/2011,0.0,0,0,17.2,6.7,43
12/6/2011,2.3,0,0,16.1,9.4,40
12/7/2011,40.6,0,0,15.0,7.2,31
12/8/2011,22.6,0,0,7.8,2.8,72
12/9/2011,0.0,0,0,11.1,1.7,45
12/10/2011,0.0,0,0,8.3,-0.6,44
12/11/2011,0.0,0,0,3.3,-2.2,32
12/12/2011,0.0,0,0,9.4,-0.6,41
12/13/2011,0.0,0,0,8.3,-1.7,30
12/14/2011,0.0,0,0,6.1,2.8,29
12/15/2011,1.3,0,0,12.2,3.3,74
12/16/2011,0.5,0,0,12.2,5.0,71
12/17/2011,0.0,0,0,5.0,-2.2,50
12/18/2011,0.0,0,0,-2.2,-6.7,44
12/19/2011,0.0,0,0,7.2,-7.8,63
12/20/2011,0.0,0,0,7.2,0.0,46
12/21/2011,2.3,0,0,14.4,0.0,43
12/22/2011,10.4,0,0,13.9,7.2,50
12/23/2011,14.7,0,0,8.3,-0.6,42
12/24/2011,0.0,0,0,-0.6,-5.6,34
12/25/2011,0.8,0,0,5.6,-7.2,34
12/26/2011,0.0,0,0,6.1,-1.1,47
12/27/2011,4.6,0,0,13.3,-1.7,63
12/28/2011,0.5,0,0,13.9,-2.2,88
12/29/2011,0.0,0,0,0.6,-5.0,67
12/30/2011,0.0,0,0,6.7,-2.8,18
12/31/2011,0.3,0,0,4.4,1.1,30
1/1/2012,0.3,0,0,11.1,3.9,41
1/2/2012,0.3,0,0,10.0,1.1,62
1/3/2012,0.0,0,0,1.7,-10.0,66
1/4/2012,0.0,0,0,-2.2,-12.2,53
1/5/2012,0.0,0,0,3.9,-3.9,51
1/6/2012,0.0,0,0,8.9,-2.2,26
1/7/2012,0.0,0,0,15.6,-1.1,22
1/8/2012,0.0,0,0,7.2,-1.1,52
1/9/2012,0.0,0,0,4.4,-3.9,32
