duration,start,end,strt_statn,end_statn,userType,gender,tripType
112,08/18/2011 22:54:00,08/19/2011 00:46:00,31,31,,,wait
5,08/19/2011 00:46:00,08/19/2011 00:51:00,31,22,C,,trip
3662,08/19/2011 00:51:00,08/21/2011 13:53:00,22,22,,,wait
102,08/21/2011 13:53:00,08/21/2011 15:35:00,22,36,C,,trip
3,08/21/2011 15:35:00,08/21/2011 15:38:00,36,36,,,wait
8,08/21/2011 15:38:00,08/21/2011 15:46:00,36,49,C,,trip
203,08/21/2011 15:46:00,08/21/2011 19:09:00,49,49,,,wait
37,08/21/2011 19:09:00,08/21/2011 19:46:00,49,3,C,,trip
1107,08/21/2011 19:46:00,08/22/2011 14:13:00,3,3,,,wait
59,08/22/2011 14:13:00,08/22/2011 15:12:00,3,24,C,,trip
62,08/22/2011 15:12:00,08/22/2011 16:14:00,24,24,,,wait
13,08/22/2011 16:14:00,08/22/2011 16:27:00,24,23,R,F,trip
52,08/22/2011 16:27:00,08/22/2011 17:19:00,23,23,,,wait
22,08/22/2011 17:19:00,08/22/2011 17:41:00,23,41,R,M,trip
1006,08/22/2011 17:41:00,08/23/2011 10:27:00,41,36,,,wait
4,08/23/2011 10:27:00,08/23/2011 10:31:00,36,52,C,,trip
295,08/23/2011 10:31:00,08/23/2011 15:26:00,52,52,,,wait
6,08/23/2011 15:26:00,08/23/2011 15:32:00,52,42,R,M,trip
44,08/23/2011 15:32:00,08/23/2011 16:16:00,42,42,,,wait
5,08/23/2011 16:16:00,08/23/2011 16:21:00,42,48,R,M,trip
38,08/23/2011 16:21:00,08/23/2011 16:59:00,48,48,,,wait
6,08/23/2011 16:59:00,08/23/2011 17:05:00,48,38,R,M,trip
1174,08/23/2011 17:05:00,08/24/2011 12:39:00,38,43,,,wait
14,08/24/2011 12:39:00,08/24/2011 12:53:00,43,47,C,,trip
34,08/24/2011 12:53:00,08/24/2011 13:27:00,47,47,,,wait
21,08/24/2011 13:27:00,08/24/2011 13:48:00,47,35,C,,trip
12,08/24/2011 13:48:00,08/24/2011 14:00:00,35,35,,,wait
6,08/24/2011 14:00:00,08/24/2011 14:06:00,35,42,R,M,trip
4,08/24/2011 14:06:00,08/24/2011 14:10:00,42,42,,,wait
18,08/24/2011 14:10:00,08/24/2011 14:28:00,42,52,R,M,trip
121,08/24/2011 14:28:00,08/24/2011 16:29:00,52,52,,,wait
36,08/24/2011 16:29:00,08/24/2011 17:05:00,52,24,C,,trip
6,08/24/2011 17:05:00,08/24/2011 17:11:00,24,24,,,wait
12,08/24/2011 17:11:00,08/24/2011 17:23:00,24,6,R,M,trip
47,08/24/2011 17:23:00,08/24/2011 18:10:00,6,6,,,wait
17,08/24/2011 18:10:00,08/24/2011 18:27:00,6,53,R,M,trip
138,08/24/2011 18:27:00,08/24/2011 20:45:00,53,53,,,wait
8,08/24/2011 20:45:00,08/24/2011 20:53:00,53,36,R,F,trip
