day,days,total,female,reg,leisure,dist,time
8/6,3,9574,1547,6278,3983,"21,779.68",234708
8/7,3,8744,1617,6262,3358,"16,694.57",177370
8/8,3,8772,1433,6082,3328,"17,101.93",177748
8/9,3,5681,1017,4083,1972,"10,499.52",107734
8/10,3,7684,1044,4045,4027,"14,511.89",155492
8/11,3,8362,1076,3772,5008,"17,195.82",222533
8/12,3,9154,1442,5552,4369,"18,592.9",223321
8/13,3,9423,1571,6272,3935,"19,394.67",225013
8/14,3,9656,1779,6614,3923,"18,061.5",181880
8/15,3,7926,1531,5809,2954,"13,741.72",181548
8/16,3,9443,1606,6389,3801,"17,454.31",184284
8/17,3,9014,1265,4765,4750,"18,652.69",207806
8/18,3,7567,964,3452,4360,"15,401.95",187209
8/19,3,8990,1401,5289,4223,"18,186.27",197288
8/20,3,9674,1568,6337,4039,"19,401.81",210049
8/21,3,9772,1722,6576,3927,"20,806.02",227545
8/22,3,9629,1718,6863,3536,"18,572.41",380975
8/23,3,9671,1688,6739,3770,"18,270.84",188890
8/24,3,9166,1258,4959,4547,"18,290.19",203448
8/25,3,8955,1028,3845,5238,"18,412.99",228511
8/26,3,8769,1270,5138,4059,"22,002.51",232715
8/27,3,8527,1509,6274,3106,"15,691.93",162364
8/28,3,7720,1507,5978,2581,"13,093.49",113652
8/29,3,8877,1494,6580,3053,"16,853.69",305884
8/30,3,9557,1639,6819,3691,"17,697.89",166325
8/31,3,7873,1136,4645,3733,"14,996.95",182563
9/1,3,5389,547,2256,3179,"9,994.24",111349
9/2,3,7738,837,3170,4660,"17,174.21",204231
9/3,3,9239,1310,5224,4525,"18,850.2",214926
9/4,3,8448,1437,5886,3322,"17,486.5",194417
9/5,3,8266,1311,5697,3061,"16,343.8",164972
9/6,3,8867,1624,6763,3035,"16,193.31",141270
9/7,3,7832,1172,4750,3617,"13,612.2",131045
9/8,3,6865,1007,3644,3724,"13,225.15",144274
9/9,3,8897,1485,6026,3551,"17,880.08",175336
9/10,3,9175,1661,6737,3234,"17,847.42",179895
9/11,3,10197,1823,7291,3782,"18,996.74",199339
9/12,3,9747,1796,7679,3005,"17,420.74",155695
9/13,3,9059,1561,6581,3193,"15,669.83",160903
9/14,3,9614,1484,6059,4219,"17,299.98",179557
9/15,3,8758,1267,4683,4457,"16,035.75",165104
9/16,3,9094,1546,6242,3602,"16,274.05",164787
9/17,3,9954,1778,7359,3501,"18,485.52",216285
9/18,3,9288,1741,7170,2985,"16,782.74",153468
9/19,3,10002,1965,8041,3109,"17,197.34",151718
9/20,3,9801,1820,7661,3126,"17,740.6",148972
9/21,3,9230,1575,6003,3974,"17,449.97",192339
9/22,3,7538,1203,4383,3606,"15,013.87",169248
9/23,3,8584,1452,6158,3028,"15,090.01",170649
9/24,3,9256,1802,7296,2975,"16,646.27",165607
9/25,3,9641,1895,7412,3103,"17,332.15",163784
9/26,3,9772,1905,7962,2949,"16,913.47",162257
9/27,3,10126,1935,8104,3224,"16,985.04",174408
9/28,3,7182,1178,4682,3221,"12,826.5",141483
9/29,3,6443,1032,4028,2790,"11,228.11",119209
9/30,3,7734,1495,6042,2437,"13,372.88",328493
10/1,3,9339,1857,7417,3003,"16,010.34",250095
10/2,3,8787,1775,6977,2745,"15,546.4",136606
10/3,3,9236,1779,7484,2797,"15,363.42",138374
10/4,3,8590,1663,7050,2446,"14,766",116396
10/5,3,9526,1593,6294,4111,"16,867.68",175476
10/6,3,5570,795,3456,2393,"10,582.93",111417
10/7,3,7912,1388,5797,2838,"14,237.76",134676
10/8,3,9391,1599,6606,3762,"17,967.9",209741
10/9,3,9696,1713,7072,3417,"19,636.52",217443
10/10,3,8538,1501,6555,2841,"15,412.39",160835
10/11,3,9510,1781,7589,2988,"16,459.4",150970
10/12,3,6721,1156,5081,2221,"12,250.47",109055
10/13,3,6494,927,3631,3232,"12,396.5",128998
10/14,3,6368,1085,4422,2519,"11,134.99",112869
10/15,3,9274,1704,7124,3103,"16,989.72",170282
10/16,3,9061,1751,7133,2832,"16,352.84",161190
10/17,3,9177,1860,7690,2603,"15,445.15",123172
10/18,3,9966,1860,7911,3193,"17,439.9",159436
10/19,3,7787,1098,4760,3491,"14,248.74",153774
10/20,3,8956,1248,4849,4604,"17,880.75",201504
10/21,3,9115,1550,6349,3417,"16,907.99",212678
10/22,3,9409,1759,7218,3026,"17,925.18",187492
10/23,3,9114,1752,7087,2775,"17,676.33",180949
10/24,3,8881,1706,7457,2237,"15,673.78",143347
10/25,3,8492,1565,7057,2293,"13,895",116552
10/26,3,7339,1181,5248,2720,"12,287.81",110451
10/27,3,5752,860,3420,2677,"10,054.92",106697
10/28,3,6175,1128,5029,1732,"10,089.63",87397
10/29,3,4406,890,3818,1017,"6,950.24",55460
10/30,3,4957,941,4236,1285,"8,162.61",70574
10/31,3,7490,1362,6441,1814,"11,944.94",106476
11/1,3,7889,1375,6628,2180,"12,895.59",101984
11/2,3,8241,1235,5339,3395,"14,512.94",145424
11/3,3,5487,811,3656,2117,"9,000.41",87055
11/4,3,6384,1158,4971,2017,"10,456.51",128070
11/5,3,6914,1273,5667,1927,"11,151.99",147928
11/6,3,7107,1430,5907,1985,"12,933.86",127432
11/7,3,5049,938,4514,1106,"8,545.96",70295
11/8,3,5748,1149,4978,1509,"9,240.61",77126
11/9,3,5997,1099,4618,1984,"9,538.33",83202
11/10,3,5218,844,3377,2203,"8,790.54",85707
11/11,3,6349,1084,4562,2244,"10,442",102793
11/12,3,5843,1000,4553,1876,"10,057.05",98551
11/13,3,4856,909,4055,1314,"8,567.81",102374
11/14,3,6493,1307,5785,1532,"10,854.01",86781
11/15,3,7178,1387,6157,1861,"11,321.71",89601
11/16,3,5923,956,4291,2043,"9,904.73",103053
11/17,3,4650,696,3069,1749,"7,606.72",89061
11/18,3,5581,975,4403,1642,"8,924.33",73802
11/19,3,5210,947,4488,1280,"7,997.79",64968
11/20,3,5411,984,4424,1598,"8,798.84",78590
11/21,3,4954,902,4359,1287,"7,498.44",70103
11/22,3,3153,486,2350,1192,"5,231.77",59883
11/23,3,2970,444,1882,1360,"5,029.23",54311
11/24,3,1661,289,1039,760,"2,671.92",29948
11/25,3,2328,382,1825,811,"3,534.11",38536
11/26,3,3144,530,2581,998,"5,538.67",48661
11/27,3,1545,237,1227,501,"2,708.85",40644
11/28,3,1601,272,1399,452,"2,594.54",21242
11/29,3,779,130,673,287,"1,264.27",10476
11/30,3,613,103,536,238,943.37,8332
12/1,2,0,0,0,0,0,0
12/2,2,0,0,0,0,0,0
12/3,2,0,0,0,0,0,0
12/4,2,0,0,0,0,0,0
12/5,2,0,0,0,0,0,0
12/6,2,0,0,0,0,0,0
12/7,2,0,0,0,0,0,0
12/8,2,0,0,0,0,0,0
12/9,2,0,0,0,0,0,0
12/10,2,0,0,0,0,0,0
12/11,2,0,0,0,0,0,0
12/12,2,0,0,0,0,0,0
12/13,2,0,0,0,0,0,0
12/14,2,0,0,0,0,0,0
12/15,2,0,0,0,0,0,0
12/16,2,0,0,0,0,0,0
12/17,2,0,0,0,0,0,0
12/18,2,0,0,0,0,0,0
12/19,2,0,0,0,0,0,0
12/20,2,0,0,0,0,0,0
12/21,2,0,0,0,0,0,0
12/22,2,0,0,0,0,0,0
12/23,2,0,0,0,0,0,0
12/24,2,0,0,0,0,0,0
12/25,2,0,0,0,0,0,0
12/26,2,0,0,0,0,0,0
12/27,2,0,0,0,0,0,0
12/28,2,0,0,0,0,0,0
12/29,2,0,0,0,0,0,0
12/30,2,0,0,0,0,0,0
12/31,2,0,0,0,0,0,0
2/1,1,0,0,0,0,0,0
date,0,0,0,0,0,0,0
