origdest,dist,time,speed,polyline,trips
007095,4.12,23.5,10.5,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@x@pBj@|Al@tA~@vBv@fBGHE?Ue@}CrC~@rBy@p@EX?Zg@Ca@Da@Ng@b@kBzBeAtAO^G`@Ir@Dx@\nAXx@Jf@Vx@v@lBJp@?VCPYt@cAfCqB|EaC|Fs@bBeB}AuDkDYW]t@Uj@Sp@CPIv@cBtM]fCKd@CN@FxApA^ZL\PVL?LHH\QtC@Je@jHkA`QwB~[{AvUgAbPk@rIGz@KE,3
007096,5.29,30.3,10.5,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@x@pBj@|Al@tA~@vBv@fBGHE?Ue@}CrC~@rBy@p@EX?Zg@Ca@Da@Ng@b@kBzBeAtAO^G`@Ir@Dx@\nAXx@Jf@Vx@v@lBJp@?VCPYt@cAfCqB|EaC|Fs@bBeB}AuDkDYW]t@Uj@Sp@CPIv@cBtM]fCKd@CN@FxApA^ZL\PVL?LHH\QtC@Je@jHkA`QwB~[{AvUgAbPk@rIGz@`A`@~Av@FBNDxDhBbBz@tDfBdJhEiCtIqJh\uHnW}ElPq@~B,2
007097,5.67,33.6,10.1,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjL\tBL^uAb@QPAB?B@BDAZWACC@]V]h@Md@Gb@A`@Bd@BF@EEm@EB@\Fb@Db@?VEd@Oz@BFZj@\p@Xv@\|AtEvWlAfD`@v@xAfIhAxGB\E\DT?l@@l@b@b@FJt@zDFLJZXjB^hFD`A?RH|@D~@FzALrANlCV~DVfBt@xCPd@`@~@DTCd@HZ^zAPv@Jp@CdDK~AE`AElCOdH[~Jc@fNi@fRCdAGdAY`CETBj@@z@KfBOx@ITE~@FpA?d@Ex@CNE@OGMDEf@GjAFDHVFp@Dt@C`BChAMtAk@nCiAtCwDbIk@xAk@bAmAdBmA~@uBx@u@FaBFmCQeFiAeD_AsB]w@AeCLyBLeCTyGl@qBFeA?g@EmG?cCDu@Fg@JcAd@y@l@m@l@a@p@EJu@w@cDmDk@q@MISe@TJ,0
007098,2.19,13.6,9.7,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@@j@CTKTUNe@Zy@f@m@^kEjCcElCoAz@o@l@ILSZMXK?QJSFSA_AyAwA_CMS\SVO,84
007099,0.93,8.8,6.4,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDqCtDy@lAeA`@kEzATfED~@@|A[@,274
007100,3.22,20.7,9.3,g_oaGx_spLRk@Rk@V\fArA`@NpClBbFlDbAt@GTIROd@U`@S\g@`A]h@pBvAVNNLPLtAjA`Ar@vB`BzAfAfBnA~AhAv@p@|ElDb@TlClBjEtB~J~LbAnAmAzBSj@[zA}@jFyAdJKp@Ux@WxAm@zDzGdCbC|@VV^RLFLHZX\\`CpDn@bAXVHNEFGJgDdO_A`FoAfGt@xAtDnGvCzE|B`E`EnGnChEhBhClFdHlA|Ab@n@HZp@`Ad@j@n@f@tAx@PNNHNBNA^Nt@d@\Vj@d@h@r@pAzAx@~@d@j@BH`@j@L^N\b@`B^b@XXvAv@hB|@XXLRH]ZcD,3
007101,4.32,28.0,9.2,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjL\tBL^uAb@QPAB?B@BDAZWACC@]V]h@Md@Gb@A`@Bd@BF@EEm@EB@\Fb@Db@?VEd@Oz@BFZj@\p@Xv@\|AtEvWlAfD`@v@xAfIhAxGB\E\DT?l@@l@b@b@FJt@zDFLJZXjB^hFD`A?RH|@D~@FzALrANlCV~DVfBt@xCPd@`@~@DTCd@HZ^zAPv@Jp@CdDK~AE`AElCOdH[~JJABEDcA@@?\j@DD{@@?B??SxARtAR~BXL@v@iNJyALoA@]V?VFf@d@jCfCjApA|FpG~@bA`@`@i@hA?@,0
007102,2.29,14.8,9.3,g_oaGx_spLRk@Rk@V\fArA`@NpClBbFlDbAt@GTIROd@U`@S\g@`A]h@pBvAVNNLPLtAjA`Ar@vB`BzAfAfBnA~AhAv@p@|ElDb@TlClBjEtB~J~LbAnAmAzBSj@[zA}@jFyAdJKp@Ux@WxAm@zDzGdCbC|@VV^RLFLHZX\\`CpDn@bAXVHNEFGJgDdOQz@APLTxC|DdB~BfGfIfB|BdB~BLQ,54
007103,3.06,21.2,8.7,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjLLv@RLR?VC^OlAa@hAe@fEcBfBu@NG~BzMrBzLhDpR`Hj`@~CmAoA}G,56
007104,2.0,13.8,8.7,g_oaGx_spLz@}B^a@hC_CPKLAH?j@\RLP]Tk@vAwDxAuExBgH`@wAFQTPtBxAv@j@lBtAj@j@n@r@tAjBbBpBtBdCfApA|A~AxAbBt@~@hCvC|LjOpA~AdAjAh@v@t@`AbCxCzE~FvFdHjJrL|CzD~BzCnCArIE~AC,61
007105,3.13,20.2,9.3,g_oaGx_spLRk@Rk@V\fArA`@NpClBbFlDbAt@GTIROd@U`@S\g@`A]h@pBvAVNNLPLtAjA`Ar@vB`BzAfAfBnA~AhAv@p@|ElDb@TlClBjEtB~J~LbAnAmAzBSj@[zA}@jFyAdJKp@Ux@WxAm@zDzGdCbC|@VV^RLFLHZX\\`CpDn@bAXVj@|@rCpEdKdPdGnJrCnErBdDVj@xA~BX^x@`ALRv@zAvAfCjC`FpElIn@pAn@jAh@m@V[Rc@rCcJd@{@X]dA{AzB}C`@i@dBJT@P@j@Hx@_@p@UZIB?,0
007106,1.66,12.1,8.2,g_oaGx_spLz@}B^a@hC_CPKLAH?j@\RLP]Tk@vAwDxAuExBgH`@wAFQTPtBxAv@j@lBtAj@j@n@r@tAjBbBpBtBdCfApA|A~AxAbBt@~@hCvC|LjOpA~AdAjAh@v@t@`AbCxCnCaFzFiK|AkC~@cBPT~@dA`@s@\o@Xe@,12
007107,2.02,14.3,8.5,g_oaGx_spLz@}B^a@hC_CPKLAH?j@\RLP]Tk@vAwDxAuExBgH`@wAFQTPtBxAv@j@lBtAj@j@n@r@tAjBbBpBtBdCfApA|A~AxAbBt@~@hCvC|LjOpA~AdAjAh@v@t@`AbCxCnCaFzFiKdD}FvB{DV\j@b@EuIIyOG{M,5
007108,2.79,18.9,8.9,g_oaGx_spLz@}B^a@hC_CPKLAH?j@\RLP]Tk@vAwDxAuExBgH`@wAFQTPtBxAv@j@lBtAj@j@n@r@tAjBbBpBtBdCfApA|A~AxAbBt@~@hCvC|LjOpA~AdAjAh@v@t@`AbCxCzE~FvFdHjJrL|CzD~BzCnCArIEbDCbAAz@?b@\NFnAj@J@`ChAdE|AjAb@pE~AjBj@jBr@rFhD`C`Bn@f@`AXxA\nAZ\D|@?z@GR?RFFb@NVPXQh@IT,0
007109,3.09,20.6,9.0,g_oaGx_spLz@}B^a@hC_CPKLAH?j@\RLP]Tk@vAwDxAuExBgH`@wAFQTPtBxAv@j@lBtAj@j@n@r@tAjBbBpBtBdCfApA|A~AxAbBt@~@hCvC|LjOpA~AdAjAh@v@t@`AbCxCzE~FvFdHjJrL|CzD~BzCnCArIEbDCbAAz@?b@\NFnAj@J@`ChAdE|AjAb@pE~AjBj@jBr@rFhD`C`Bn@f@`AXxA\nAZ\D|@?z@GR?RFFb@NVf@z@tAzBh@j@fAz@dDtBbC~An@j@l@v@l@tAHXSr@QO,0
007110,7.25,41.6,10.4,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjL\tBL^uAb@QPAB?B@BDAZWACC@]V]h@Md@Gb@A`@Bd@BF@EEm@EB@\Fb@Db@?VEd@Oz@BFZj@\p@Xv@\|AtEvWlAfD`@v@xAfIhAxGB\E\DT?l@@l@b@b@FJt@zDFLJZXjB^hFD`A?RH|@D~@FzALrANlCV~DVfBt@xCPd@`@~@DTCd@HZ^zAPv@Jp@CdDK~AE`AElCOdH[~Jc@fNi@fRCdAGdAY`CETBj@@z@KfBOx@ITE~@FpA?d@Ex@CNE@OGMDEf@GjAFDHVFp@Dt@C`BChAMtAk@nCiAtCwDbIk@xAk@bAmAdBmA~@uBx@u@FaBFmCQeFiAeD_AsB]w@AeCLyBLeCTyGl@qBFeA?OA?N?T@TDxBHv@NtEV|H?j@HvB\hJJfBHfCb@lLFzAPpCNjEr@r@^Vf@T\Jh@Hj@DAXDH`CxCjEvFf@j@f@Xb@V\Ff@FvAEdKa@HEHi@R{CBEvBZF?HCLMv@hCP^G?y@F[fFWnCSfESjFQhCSvCCb@MFOPQXIZWjBSnDEf@@VBVLLlBTJDDzAoA|Oe@xF,3
007111,1.85,11.4,9.7,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@LZ,595
007112,0.87,7.7,6.8,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CDD,234
007113,1.7,14.4,7.1,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDqCtDy@lAeA`@kEzATfEHbD?TQrAOhAU|@UjAEDYp@SN_AZkAj@aA~@{@zAe@vAQ|@[`BKbB?dCBjFD`CBfNBfE@fF?hAER[~@pAb@d@LFN?TDA,66
007114,1.88,11.6,9.7,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@x@pBN^,976
007115,2.93,17.1,10.3,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@@j@CTKTUNe@Zy@f@m@^kEjCcElCoAz@o@l@ILSZMXK?QJSFSA_AyAwA_C}AgCqB{Cs@_AQMe@m@]e@y@}@qBgC}@qAiAyBj@_A~@iAfAiAoEkIiFsJiC}EeB_DY[?@,17
007116,1.88,13.7,8.3,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@?@,9
007117,0.83,6.2,8.1,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDqCtDm@{@c@q@iCcEKWGm@,16
007118,2.65,16.0,9.9,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@@j@CTKTUNe@Zy@f@m@^kEjCcElCoAz@o@l@ILSZMXK?QJSFSA_AyAwA_C}AgCqB{Cs@_AQMe@m@]e@y@}@qBgC}@qAiAyBi@y@k@o@_BeBKVKR?@EFmAfC_@|@AHALCH,1
007119,2.33,16.5,8.5,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JqAb@s@TBbAfAtLFVbApArF`[n@tEb@tCNd@HVe@RwB|@g@qC,1
007120,6.19,39.6,9.4,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@|@b@|@d@z@\vEdA|ElAzCx@`@f@h@hA^r@`Ar@xBrAVRLLTBT@xA|@hBtAdFlE|D`DxCrBvE|CjCfAzAf@nBh@pA^`@FfANR?TCRDDAPUZWNAvATxExAhFlCdH|DrNfI`@TLHPh@Ht@Jf@Nb@n@h@|Av@PFR@lCnBMTFBB@B`BArPe@JaA^sDvAm@N_AHwENgCHm@E,0
007121,5.54,36.2,9.2,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@|@b@|@d@z@\vEdA|ElAzCx@`@f@h@hA^r@`Ar@xBrALHAXInDKfF@pCFrA\pFP~DRhERrFFt@j@zD^pBAB?JDPNDDANFd@NVDNJbCxAbCpBvAfAlB`AbIbFvF`Dj@TN@r@FbADfEDrDC~@@,0
007122,4.97,33.8,8.8,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@|@b@|@d@z@\vEdA|ElAzCx@`@f@h@hA^r@`Ar@xBrALHAXInDKfF@pCFrA\pFP~DRhERrFFt@j@zD^pBAB?JDPNDDANFd@NVDNJnAt@An@?N,0
007123,4.85,32.5,8.9,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@FQ|Bz@jCz@pBf@tD|@lDz@b@Hj@Dr@D~AEh@E~GYnZUfDCfCE\XWZ,0
007124,5.32,34.7,9.2,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@|@b@|@d@z@\vEdA|ElAzCx@`@f@h@hA^r@`Ar@xBrAVRLLTBT@xA|@hBtAdFlE|D`DxCrBvE|CjCfAzAf@nBh@pA^`@FfANR?TCRDDAPUZWNAvATxExAhFlCbEzBMb@,0
007125,4.3,29.2,8.8,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGfDtEjC~CfB`CxBzDpAhCnC`FxBhEGJ|ChETXEv@@l@R`ARf@DFH\Lb@JL`@Hl@Z\ZZf@n@rA^v@vCdFxAbB`@\f@h@hA~APVt@h@d@RLJlBpBpB|B^Xl@ZdCfBf@Zr@Z`@LbBp@|@b@|@d@z@\vEdA|ElAzCx@`@f@h@hA^r@TN,0
007126,6.0,38.9,9.3,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@dIxANDEdEBr@VpC[JeA\TxBKxBbEnFv@pAT\RP`D~DrAfBL`@jChDdAxAvH`KnA|AxH~JrLzOrEfGj@x@cA~AgCfEy@rAs@lAI^uA~BOQYd@l@v@jC`DLHLFdAxAn@hAZt@hBhGrAdFf@dBh@vAzAtF^dAvA|EjFvQdCnIdArDx@fD`BtEnC~Kr@jCfArDz@dCV`@JJVh@bAbCRl@F`@Fr@AlJLfDFr@Hh@Rn@h@rAd@nADX^j@x@tAT~@Dd@HxBJ~CAtHBlAHtAN~BGH?X@r@ANMz@e@jAk@b@{BvAq@hAQd@G^WdCSlAMd@Yv@w@lAk@hA]nAe@lBy@tDo@bDYv@Yb@cCrBuBlBkCnC_AbAo@|@u@tAg@nAYfAEVIpAPjBJz@HjA@h@?lAOpBc@tGSpCQ~A[zAQf@u@dBOaA,8
007127,5.66,36.8,9.2,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjL\tBL^uAb@QPAB?B@BDAZWACC@]V]h@Md@Gb@A`@Bd@BF@EEm@EB@\Fb@Db@?VEd@Oz@BFZj@\p@Xv@\|AtEvWlAfD`@v@xAfIhAxGB\E\DT?l@@l@b@b@FJt@zDFLJZXjB^hFD`A?RH|@D~@FzALrANlCV~DVfBt@xCPd@`@~@DTCd@HZ^zAPv@Jp@CdDK~AE`AElCOdH[~JJABEDcA@@?\j@DD{@@?B??SxARtARdBTgAbRu@`LSfDRBTBvC\`BTtC`@vBV|@F|@[vAo@b@fC~@lFrGj^d@jCpBtKnBrKxC~OHb@WT[j@s@`B_C~EiCvFk@tAqAlDi@xAk@tA{@|AoAbBiBvAo@b@,8
007128,3.83,23.7,9.7,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@x@pBj@|Al@tA~@vBv@fBGHE?Ue@}CrC~@rBy@p@EX?Zg@Ca@Da@Ng@b@kBzBeAtAO^G`@Ir@Dx@\nAXx@Jf@Vx@v@lBJp@?VCPYt@cAfCqB|EkAnCYv@JJP`@oBvEdAfADNGNJHBV@RGRgB|Du@lB[p@GTBVE\@n@Rj@JJNDPBBJWAC?BL@z@IrAbC`@fC\PFdKrAfC`@i@jIaAvNRPj@VvAn@r@\vE~Bv@b@nCpBNWVPAH@HBF@HAh@FXAV,8
007129,5.71,34.1,10.0,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBW\_@h@i@p@a@~@_ClD{BjDpAjCp@vAZl@b@bAHt@LrBNlD?`CUzAg@pA_ClB`@h@pChDg@tAa@bA[~@w@~BHHrBpB~@`AZXXLvErBpBr@lBd@~AXAVKlDMrGGb@Sh@c@l@ABCFWH{@`@gAf@oJfEk@VIBEPm@XGFGT@|@~AjL\tBL^uAb@QPAB?B@BDAZWACC@]V]h@Md@Gb@A`@Bd@BF@EEm@EB@\Fb@Db@?VEd@Oz@BFZj@\p@Xv@\|AtEvWlAfD`@v@xAfIhAxGB\E\DT?l@@l@b@b@FJt@zDFLJZXjB^hFD`A?RH|@D~@FzALrANlCV~DVfBt@xCPd@`@~@DTCd@HZ^zAPv@Jp@CdDK~AE`AElCOdH[~Jc@fNi@fRCdAGdAY`CETBj@@z@KfBOx@ITE~@FpA?d@Ex@CNE@OGMDEf@GjAFDHVFp@Dt@C`BChAMtAk@nCiAtCwDbIk@xAk@bAmAdBmA~@uBx@u@FaBFmCQeFiAeD_AsB]w@AeCLyBLeCTyGl@qBFeA?g@EmG?cCDu@Fg@JcAd@y@l@m@l@a@p@EJu@w@cDmDk@q@MIOVQ^Sf@Qj@EPQMa@S,1
007130,5.29,30.4,10.4,g_oaGx_spLRk@Rk@V\fArA`@NgB~EaDdJq@dBCb@Yp@uCfHiAdBMPQQ_@[[Sa@MuAUmCUy@AuAHi@R[Vi@h@SJ[FuHrAcAVq@Z_Aj@e@`@w@`Ak@Wi@c@W[k@cAa@oAYq@QUUU]MWEgBDoEFcCAeCFu@Bs@HwAd@[NoAxA]b@M\aAhD}@fDc@jB_A|FS~A@r@FX`@x@~AnCf@t@DPb@t@b@v@TRRb@jAfCZz@x@pBj@|Al@tA~@vBv@fBGHE?Ue@}CrC~@rBy@p@EX?Zg@Ca@Da@Ng@b@kBzBeAtAO^G`@Ir@Dx@\nAXx@Jf@Vx@v@lBJp@?VCPYt@cAfCqB|EaC|Fs@bBeB}AuDkDYW]t@Uj@Sp@CPIv@cBtM]fCKd@CN@FxApA^ZL\PVL?LHH\QtC@Je@jHkA`QwB~[{AvUoCta@gArPy@|MKz@m@v@gAvAaFpGmKbNiDnEf@rDd@jDpAfKbBtMz@zGHj@p@L,2
